Title,id,Samling,Nr,Titel,Dato,speaker_id,text,Date,doc_id,Name,Year,Parti,Period,.groups
Simon Kollerup,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1907,": tak for det. vi skal også nok dykke videre ned i det i udvalgsar‐ bejdet. efter konkursloven kan en konkurskarantæne pålægges en person, som har deltaget i ledelsen af den konkursramte virksomhed, hvis den pågældende på grund af en groft uforsvarlig forretningsfø‐ relse er uegnet til at deltage i ledelsen af en erhvervsvirksomhed. en konkurskarantæne pålægger man i hovedreglen år, og det medfører så, at den pågældende ikke må deltage i ledelsen af en erhvervsvirksomhed uden at hæfte personligt og ubegrænset for virksomhedens forpligtigelser. en revisor er offentlighedens tillidsrepræsentant, og derfor mener jeg ikke, at det vil være forsvarligt, hvis man dagen efter udløbet af karantænen straks kan afgive påtegning af årsregnskaber. det er derfor, vi foreslår, at vedkommende først igen kan begynde at give erklæringer på et årsregnskab efter 5 år.",2020-10-20T20:06:00Z,1009,Simon Kollerup,2020,Socialdemokratiet,2019-,1
Christoffer Aagaard Melson,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,1090,": tak for det. i forlængelse af den snak er der jo den her snak om grænsehindringer, som vi fra venstres side også gerne vil prioritere at vi får bragt ned så meget som muligt. det er både i forhold til lovgivning, der skal oversættes med en vis hastighed, og i forhold til forskellige tekniske handelshindringer, og det er i forhold til søtrans‐ port og andet. så i forhold til hele emnet omkring grænsehindringer hvor ser ordføreren så at vi har nogle muligheder for at gøre tingene bedre?",2020-10-08T20:19:00Z,101,Christoffer Aagaard Melson,2020,Venstre,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1908,: hr. hans kristian skibby.,2020-10-20T20:07:00Z,1010,Jens Rohde,2020,Radikale Venstre,2019-,1
Hans Kristian Skibby,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1909,": jeg bad jo om ordet lidt sent, men det var, fordi jeg håbede, at mini‐ steren svarede til sidst. det gjorde han så ikke. jeg synes, det var et nonsenssvar, for at være helt ærlig, hr. minister. altså, jeg spørger til, hvad årsagen er til forskelligheden i de to karensperioder, og så siger ministeren, at den på de 5 år er, fordi man, hvis man laver den ene, kan gå over på den anden. omvendt kunne man jo, hvis det, som ministeren forsvarer, skulle være logikken, så også bare sige, at en almindelig erhvervsdrivende eller et bestyrelsesmedlem i et noteret selskab f.eks., dagen efter at de 3 år er gået, kan påbegynde nye og kreative forretningsmodeller og eksperimenter. så kunne man, hvis det var det, der var argumentet, jo også godt vælge at sætte det op til 5 år der. det taler jeg så ikke for. jeg taler bare for, at der er en transparens i de to typer perioder.",2020-10-20T20:07:00Z,1011,Hans Kristian Skibby,2020,NA,NA,1
Henrik Dam Kristensen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,190,": fru signe munk, værsgo. : tak. ordføreren, værsgo.",2020-10-08T09:23:00Z,1012,Henrik Dam Kristensen,2020,Socialdemokratiet,2019-,1
Simon Kollerup,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1911,": det forstår jeg også godt. men det, at der er transparens, og at man kan forstå og se forskellen, behøver jo ikke at være sådan at forstå, at det så partout også skal være den samme periode, der gør sig gældende. jeg mener, som jeg siger, at det her med at være offentlighedens tillidsrepræsentant er noget ganske særligt, og der påhviler et stort ansvar. det er revisorerne i danmark som branche dybt bevidste om, og de er utrolig dygtige. men der, hvor der er brodne kar, der groft uforsvarligt har gjort sig skyldige i de her forhold, synes jeg, at 5 år er passende.",2020-10-20T20:08:00Z,1014,Simon Kollerup,2020,Socialdemokratiet,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1912,": så er der ikke flere, der har bedt om ordet. vi siger tak til erhvervs‐ ministeren. dermed er forhandlingen sluttet. jeg foreslår, at lovforslaget henvises til erhvervsudvalget. hvis in‐ gen gør indsigelse, betragter jeg det som vedtaget. det er vedtaget. de næste to lovforslag er fremsat af sundheds- og ældreministeren, men da det forholder sig sådan, at sundheds- og ældreministeren venter på svar på en coronatest, så er der med accept fra samtlige partier som det er blevet mig oplyst givet tilladelse til, at er‐ hvervsministeren vikarierer i forbindelse med disse lovforslag. det næste punkt på dagsordenen er: 16 1. behandling af lovforslag nr. : forslag til lov om ændring af lov om forbud mod tobaksreklame m.v., lov om tobaksvarer m.v., lov om elektroniske cigaretter tirsdag den 20. oktober 2020 m.v. og forskellige andre love. udmøntning af national handle‐ plan mod børn og unges rygning . af sundheds- og ældreministeren magnus heunicke . fremsættelse 08.10.2020 . forhandling : forhandlingen er åbnet. hr. rasmus horn langhoff. 65 mig at høre: når man nu laver en national handlingsplan for børn og unge, hvad er grunden så til, at man skal ramme alle mulige andre mennesker, som faktisk er over 18 år? altså, i dag er man voksen, man er myndig, når man er 18 år. man kan blive uddannet til soldat, man kan blive sendt ud i krig, man kan blive skudt på, og man kan skyde andre. men man må saftsuseme ikke bestemme, om man må have lov til at ryge. så jeg kunne godt tænke mig at høre: hvorfor skal man ramme alle andre med lovforslaget, og hvad er børn, når vi taler om dem og deres rygefrekvens? ordfører ",2020-10-20T20:09:00Z,1015,Jens Rohde,2020,Radikale Venstre,2019-,1
Rasmus Horn Langhoff,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1913,": det er en stor dag i dag, og det er et historisk lovforslag, vi behand‐ ler her, som, hvis og når vi forhåbentlig får det vedtaget vi får det jo ikke vedtaget i dag, men vi får sonderet terrænet, i forhold til om der er opbakning til det, men det skulle der jo gerne være vil være et vigtigt skridt i kampen mod rygning blandt børn og unge og samtidig et vigtigt skridt for at bekæmpe ulighed i sundhed. knap 14.000 danskere dør hvert eneste år som følge af rygning, og mange flere får nedsat livskvalitet, fordi de lever med følgerne af mange års rygning. rygning er også en af de helt store årsager til ulighed i sundhed, og skal vi sikre flere danskere et længere liv med flere raske leveår, kommer vi ikke uden om, at færre danskere skal begynde på den farlige tobak. skal vi ændre udviklingen, er det især blandt de helt unge, vi skal sætte ind, for vi ved, at fire ud af fem rygere startede, før de blev 18 år, altså før det blev lovligt at købe tobak. desværre er det de seneste år gået den forkerte vej. efter en lang periode med et fald i antallet af rygere har vi jo desværre de seneste år set en bekymrende stigning i andelen af børn og unge, som begynder at ryge, og det kræver handling, og det kalder på politisk handling. med lovforslaget her forbyder vi rygning det sted, hvor børn og unge tilbringer størstedelen af deres dag, nemlig i uddannelsessyste‐ met. i både folkeskoler og ungdomsuddannelser skal det ikke bare være slut med at ryge på matriklen, men vi indfører også røgfri sko‐ letid. så det er altså også slut med at gå ned til bageren i frikvarteret og pulse løs under halvtaget. som elev i den danske folkeskole eller som studerende på en ungdomsuddannelse skal rygning altså ikke være en del af den normale hverdag. desuden stiller vi med lovforslaget her også krav om, at tobak skjules i butikken, og at cigaretpakker gøres neutrale, så man altså ikke skal mødes af indbydende og moderigtige og farvestrålende cigaretpakker med designerlogoer, når man træder ind i supermar‐ kedet eller står i kø ved kassen. det er alt sammen for at sikre, at fremtidens generationer af unge i langt mindre grad vokser op med tobak, end tilfældet var for eksempelvis min egen generation. tobak er dødsensfarligt, og det skal ikke være en naturlig del af en ungdomskultur, og det skal ikke være en indgangsbillet til at være en del af et ungdomsfællesskab. så der er stor opbakning fra socialdemokratiet til det her lovfor‐ slag.",2020-10-20T20:10:00Z,1016,Rasmus Horn Langhoff,2020,Socialdemokratiet,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1914,: tak for det. der er foreløbig indtegnet to til kommentarer. den første er fru liselott blixt fra dansk folkeparti.,2020-10-20T20:13:00Z,1017,Jens Rohde,2020,Radikale Venstre,2019-,1
Liselott Blixt,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1915,": mange tak. når ordføreren siger, at der er flere børn, der starter med at ryge, kunne jeg godt tænke mig at høre: hvad er det for en aldersgruppe, ordføreren kalder børn? og så kunne jeg godt tænke",2020-10-20T20:13:00Z,1018,Liselott Blixt,2020,Dansk Folkeparti,2019-,1
Henrik Dam Kristensen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,1091,: ordføreren. : hr. kristian hegaard.,2020-10-08T20:19:00Z,102,Henrik Dam Kristensen,2020,Socialdemokratiet,2019-,1
Rasmus Horn Langhoff,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1917,": fokus er primært på at sikre børn og unge under 18 år og så må man jo så vurdere, hvornår man går fra at være barn til at være ung, om det er ved 15 år eller 16 år eller hvad hvor det jo altså er, som vi ved, ulovligt at købe tobak. men samtidig ved vi udmærket godt, hver og en af os, at det foregår, og at der nærmest ikke kan findes et sted, hvor en mindreårig uden problemer ikke vil kunne købe tobak, fordi den lov, vi har, tydeligvis ikke bliver respekteret og overholdt og vi ikke har de nødvendige redskaber til at komme efter dem, der bryder loven. fokus er primært på dem, men det er klart, at alle dem, som vi kan få til at holde op med at ryge, vil være en gevinst, både for dem, der stopper med at ryge, og også for samfundet. men det primære fokus og den største interesse er at sørge for, at børn og unge slet ikke starter med den giftige røg.",2020-10-20T20:13:00Z,1020,Rasmus Horn Langhoff,2020,Socialdemokratiet,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1918,: fru liselott blixt.,2020-10-20T20:15:00Z,1021,Jens Rohde,2020,Radikale Venstre,2019-,1
Liselott Blixt,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1919,": nu var det, fordi ordføreren selv sagde, at tallet for børn var steget. jeg mener, at det, når man taler om 15-16-årige, er unge mennesker. jeg ved ikke helt, om ordføreren vil gå ud at sige til de 15-16-årige, at de er børn. så det var bare lige det, jeg faldt over. men jeg kunne også godt tænke mig at høre, når det nu går ud over alle mulige andre, og når man har samlet alt i den her plan, hvad grunden er til, at man, når vi taler om rygning, vil forbyde snus og e-cigaretter. man vil forbyde snus, som ikke indeholder tobak, man vil også forbyde e-cigaretter, der ikke indeholder nikotin. hvad er fornuften i det?",2020-10-20T20:15:00Z,1022,Liselott Blixt,2020,Dansk Folkeparti,2019-,1
Jesper Petersen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,191,": vi kan komme et godt stykke med det, vi kender nu, og vi kommer jo også til at kunne tage yderligere tiltag sammen. senere på året skal vi diskutere landbrug, men det vil jo blive med landbruget, som det er med andre områder, altså at man godt meget hurtigt kan lave ret store reduktioner af danmarks co2-udslip, hvis man ville, men hvis vi køber det samme, men bare har lagt den produktion i et andet land, så har vi jo ikke vundet noget. så er klimabelastningen den samme. vi har bare tabt arbejdspladser og indtjening i mellemtiden. så vi er jo nødt til at gå frem på en måde, hvor det hele går op. men ja, vi kan komme langt med ting, som vi allerede kender. faktisk viste klimaprogrammet den anden dag det blev så taget, som om det var et politisk udspil, og det var det jo ikke et overblik over og en, synes jeg jo, meget positiv melding om, at vi godt kan nå 70-procentsmålsætningen med det, vi ved nu, når man modner det, skalerer det og får de teknologier, der kommer til at spille sammen. så jeg tror mere og mere på, at vi altså lykkedes med det, selv om vi fra starten af valgperioden godt kunne tvivle på, hvordan vi skulle gøre det.",2020-10-08T09:24:00Z,1023,Jesper Petersen,2020,Socialdemokratiet,2019-,1
Rasmus Horn Langhoff,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1921,": fornuften er, at vi ved, at nikotin generelt er farligt, at de her tobaks‐ produkter generelt er farlige. vi ved også, at det ene kan føre til det andet, at man altså kan starte med det ene tobaksprodukt og så gå over til det næste. så vi er nødt til, hvis vi ønsker at bekæmpe tobak, ønsker at bekæmpe rygning, ønsker at bekæmpe nikotin blandt børn og unge, at ramme bredt. og der gik min tid.",2020-10-20T20:15:00Z,1025,Rasmus Horn Langhoff,2020,Socialdemokratiet,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1922,: hr. lars boje mathiesen. 66 tirsdag den 20. oktober 2020 : ordføreren.,2020-10-20T20:16:00Z,1026,Jens Rohde,2020,Radikale Venstre,2019-,1
Rasmus Horn Langhoff,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1923,": vi skal stadig væk indføre de restriktioner, som der bliver lagt op til med lovforslaget, hvis det er det, ordføreren for nye borgerlige spørger om. jeg kan ikke helt forstå, om der bliver spurgt til, om der skal indføres yderligere restriktioner. men det er der jo ikke lagt op til her. men uanset om vi kan se, at det skulle gå lidt ned eller lidt op, er det det her, vi lægger op til, det er det her, vi har lavet en politisk aftale om, det er det her, der er opbakning til, og det er det her, som ikke bare regeringen, men som også et stort flertal af folketingets partier mener vil være med til at sikre, at der i fremtiden skal være færre, som kommer til at dø af farlig røg.",2020-10-20T20:16:00Z,1027,Rasmus Horn Langhoff,2020,Socialdemokratiet,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1924,: hr. lars boje mathiesen.,2020-10-20T20:17:00Z,1028,Jens Rohde,2020,Radikale Venstre,2019-,1
Lars Boje Mathiesen,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1925,": jo, men den aftale er jo også baseret på nogle data, der siger, at der er sket en stigning i antallet af unge, der ryger. hvis virkeligheden viser sig at være noget andet næste år, er det jo en ny situation, eller hvis den viser sig nu her at være noget andet, men det får vi se. jeg kunne egentlig godt tænke mig at spørge, for nu siger man, at det her er dødsensfarligt, og at der er knap 14.000, der dør: er det socialdemokratiets holdning, at det er okay, eller skal vi ikke forbyde rygning? så er der jo 14.000 mindre, der dør. lige nu har vi sat verden og samfundet i stå for 600-700 mennesker på grund af en coronavirus. hvad med de her 14.000, der dør? er det okay, at der dør 14.000 i danmark? hvorfor forbyder man ikke rygning? vil socialdemokratiet gå forrest med at forbyde rygning i danmark?",2020-10-20T20:17:00Z,1029,Lars Boje Mathiesen,2020,x - Nye Borgerlige,2019-,1
Aki-Matilda Høegh-Dam,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,1092,": tak for spørgsmålet. jeg vil gerne præcisere, at jeg tror på, at vores samarbejde med danmark og den danske regering bliver løbende styrket af, at grønland får mere selvbestemmelse. når det så er sagt, vil jeg til ordførerens spørgsmål om grænsehindringer sige, at jeg er glad for, at du tager det op. siumut har også klare politiske retnings‐ linjer om en styrkelse i forhold til grænsehindringer, især i forhold til narkotika, der kommer ind til grønland. vi bliver også nødt til at kigge på, hvordan skibene kommer til grønland, og hvordan man kommer til at kigge på det på en anden måde, for vi har ikke de der motorveje, som man har hernede i danmark.",2020-10-08T20:19:00Z,103,Aki-Matilda Høegh-Dam,2020,x - Siumut,2019-,1
Rasmus Horn Langhoff,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1927,": vi ønsker ikke at forbyde tobakken, vi ønsker ikke at gøre det forbudt at ryge. også selv om vi udmærket godt ved, at det har nogle alvorlige menneskelige og samfundsøkonomiske og sundhedsmæssi‐ ge konsekvenser, ønsker vi ikke at gøre det forbudt. vi ønsker, at det skal være lovligt, og at det skal være en mulighed for voksne, velovervejede mennesker at kunne ryge, hvis det er det, man har lyst til. men vi er samtidig heller ikke blinde for, og med de tal, jeg nævnte her, at fire ud af fem altså starter, før de bliver voksne, og dem, som har stiftet bekendtskab med tobak, ved udmærket godt, hvor frygtelig vanedannende det er.",2020-10-20T20:18:00Z,1031,Rasmus Horn Langhoff,2020,Socialdemokratiet,2019-,1
Lars Boje Mathiesen,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1928,": det er jo sådan med statistikker, at de som regel aldrig er lineære. hvis nu der har været et fald efterfulgt af stilstand, og så er der et lille hop op, og så falder det lidt igen, eller hvis der ifølge de seneste tal ikke er en stigning, hvad er socialdemokratiets holdning så? skal vi stadig væk indføre flere restriktioner på de her ting, eller skal vi være tilfreds med dem, som er blevet lavet, eller vil man tilbagerulle dem?",2020-10-20T20:19:00Z,1032,Lars Boje Mathiesen,2020,x - Nye Borgerlige,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1929,": tak siger vi til socialdemokratiets ordfører, hr. rasmus horn lang‐ hoff. vi går videre i ordførerrækken, og nu er det hr. martin geertsen fra venstre. værsgo.",2020-10-20T20:19:00Z,1033,Jens Rohde,2020,Radikale Venstre,2019-,1
